,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
0,"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"47,216 Ratings & 2,556 Reviews",35% off
1,"POCO C51 (Power Black, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"47,216 Ratings & 2,556 Reviews",35% off
2,"POCO C50 (Royal Blue, 32 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"50,720 Ratings & 2,482 Reviews",38% off
3,"vivo T2x 5G (Glimmer Black, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"55,643 Ratings & 3,154 Reviews",27% off
4,"vivo T2x 5G (Glimmer Black, 128 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"1,01,936 Ratings & 6,056 Reviews",26% off
5,"vivo T2x 5G (Aurora Gold, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"55,643 Ratings & 3,154 Reviews",27% off
6,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"1,01,936 Ratings & 6,056 Reviews",26% off
7,"vivo T2x 5G (Aurora Gold, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"1,01,936 Ratings & 6,056 Reviews",26% off
8,"Infinix SMART 7 (Azure Blue, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"57,868 Ratings & 2,960 Reviews",30% off
9,"Infinix SMART 7 (Emerald Green, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"57,868 Ratings & 2,960 Reviews",29% off
10,"Infinix SMART 7 (Emerald Green, 64 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"57,868 Ratings & 2,960 Reviews",30% off
11,"POCO C55 (Cool Blue, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"33,785 Ratings & 1,967 Reviews",35% off
12,"POCO C55 (Power Black, 128 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"33,785 Ratings & 1,967 Reviews",35% off
13,"Infinix SMART 7 (Night Black, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"57,868 Ratings & 2,960 Reviews",30% off
14,"POCO C55 (Forest Green, 128 GB)",8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,"33,785 Ratings & 1,967 Reviews",35% off
15,"MOTOROLA G32 (Mineral Gray, 128 GB)",5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,"42,361 Ratings & 3,839 Reviews",36% off
16,"MOTOROLA e13 (Cosmic Black, 64 GB)","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","42,122 Ratings & 3,549 Reviews",33% off
17,"REDMI 11 Prime (Peppy Purple, 64 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"4,956 Ratings & 247 Reviews",40% off
18,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,"42,973 Ratings & 3,884 Reviews",31% off
19,"POCO C55 (Cool Blue, 64 GB)",16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,"46,158 Ratings & 2,802 Reviews",37% off
20,"MOTOROLA e32 (Arctic Blue, 64 GB)",50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,"13,340 Ratings & 1,127 Reviews",33% off
21,"Infinix SMART 7 (Azure Blue, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"57,868 Ratings & 2,960 Reviews",29% off
22,"POCO C55 (Forest Green, 64 GB)",Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,"46,158 Ratings & 2,802 Reviews",37% off
23,"MOTOROLA e13 (Aurora Green, 64 GB)",1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,"42,122 Ratings & 3,549 Reviews",33% off
24,"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"47,216 Ratings & 2,556 Reviews",35% off
25,"POCO C51 (Power Black, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"47,216 Ratings & 2,556 Reviews",35% off
26,"POCO C50 (Royal Blue, 32 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"50,720 Ratings & 2,482 Reviews",38% off
27,"vivo T2x 5G (Glimmer Black, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"55,643 Ratings & 3,154 Reviews",27% off
28,"vivo T2x 5G (Glimmer Black, 128 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"1,01,936 Ratings & 6,056 Reviews",26% off
29,"vivo T2x 5G (Aurora Gold, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"55,643 Ratings & 3,154 Reviews",27% off
30,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"1,01,936 Ratings & 6,056 Reviews",26% off
31,"vivo T2x 5G (Aurora Gold, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"1,01,936 Ratings & 6,056 Reviews",26% off
32,"Infinix SMART 7 (Azure Blue, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"57,868 Ratings & 2,960 Reviews",30% off
33,"Infinix SMART 7 (Emerald Green, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"57,868 Ratings & 2,960 Reviews",29% off
34,"Infinix SMART 7 (Emerald Green, 64 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"57,868 Ratings & 2,960 Reviews",30% off
35,"POCO C55 (Cool Blue, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"33,785 Ratings & 1,967 Reviews",35% off
36,"POCO C55 (Power Black, 128 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"33,785 Ratings & 1,967 Reviews",35% off
37,"Infinix SMART 7 (Night Black, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"57,868 Ratings & 2,960 Reviews",30% off
38,"POCO C55 (Forest Green, 128 GB)",8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,"33,785 Ratings & 1,967 Reviews",35% off
39,"MOTOROLA G32 (Mineral Gray, 128 GB)",5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,"42,361 Ratings & 3,839 Reviews",36% off
40,"MOTOROLA e13 (Cosmic Black, 64 GB)","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","42,122 Ratings & 3,549 Reviews",33% off
41,"REDMI 11 Prime (Peppy Purple, 64 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"4,956 Ratings & 247 Reviews",40% off
42,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,"42,973 Ratings & 3,884 Reviews",31% off
43,"POCO C55 (Cool Blue, 64 GB)",16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,"46,158 Ratings & 2,802 Reviews",37% off
44,"MOTOROLA e32 (Arctic Blue, 64 GB)",50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,"13,340 Ratings & 1,127 Reviews",33% off
45,"Infinix SMART 7 (Azure Blue, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"57,868 Ratings & 2,960 Reviews",29% off
46,"POCO C55 (Forest Green, 64 GB)",Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,Dimensity 6020 Processor,"46,158 Ratings & 2,802 Reviews",37% off
47,"MOTOROLA e13 (Aurora Green, 64 GB)",1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,1 Year of Device & 6 Months for Inbox Accessories,"42,122 Ratings & 3,549 Reviews",33% off
48,"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"47,216 Ratings & 2,450 Reviews",35% off
49,"POCO C51 (Power Black, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"47,216 Ratings & 2,450 Reviews",35% off
50,"POCO C50 (Royal Blue, 32 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"50,720 Ratings & 2,400 Reviews",38% off
51,"vivo T2x 5G (Aurora Gold, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"55,643 Ratings & 2,941 Reviews",27% off
52,"vivo T2x 5G (Glimmer Black, 128 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"1,01,936 Ratings & 5,655 Reviews",26% off
53,"vivo T2x 5G (Glimmer Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"55,643 Ratings & 2,941 Reviews",27% off
54,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"1,01,936 Ratings & 5,655 Reviews",26% off
55,"Infinix SMART 7 (Azure Blue, 64 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"57,868 Ratings & 2,828 Reviews",30% off
56,"Infinix SMART 7 (Emerald Green, 128 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"57,868 Ratings & 2,828 Reviews",29% off
57,"Infinix SMART 7 (Emerald Green, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"57,868 Ratings & 2,828 Reviews",30% off
58,"POCO C55 (Cool Blue, 128 GB)",Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,Helio G36 Processor,"33,785 Ratings & 1,903 Reviews",35% off
59,"vivo T2x 5G (Aurora Gold, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"1,01,936 Ratings & 5,655 Reviews",26% off
60,"POCO C55 (Power Black, 128 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"33,785 Ratings & 1,903 Reviews",35% off
61,"Infinix SMART 7 (Azure Blue, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"57,868 Ratings & 2,828 Reviews",29% off
62,"Infinix SMART 7 (Night Black, 64 GB)",8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,8MP Dual Camera | 5MP Front Camera,"57,868 Ratings & 2,828 Reviews",30% off
63,"POCO C55 (Forest Green, 128 GB)",5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,5000 mAh Lithium Polymer Battery,"33,785 Ratings & 1,903 Reviews",35% off
64,"MOTOROLA G32 (Mineral Gray, 128 GB)","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","42,361 Ratings & 3,656 Reviews",36% off
65,"MOTOROLA e13 (Cosmic Black, 64 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"42,122 Ratings & 3,441 Reviews",33% off
66,"POCO C55 (Cool Blue, 64 GB)",4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,4 GB RAM | 128 GB ROM,"46,158 Ratings & 2,688 Reviews",37% off
67,"REDMI 11 Prime (Peppy Purple, 64 GB)",16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,16.71 cm (6.58 inch) Full HD+ Display,"4,956 Ratings & 238 Reviews",40% off
68,"MOTOROLA e32 (Arctic Blue, 64 GB)",50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,50MP + 2MP | 8MP Front Camera,"13,340 Ratings & 1,079 Reviews",33% off
